Date,hashrate30var
2012/06/17,9.2877888468906E+23
2012/06/18,9.3264668971126E+23
2012/06/19,1.2162557307258E+24
2012/06/20,1.2387053209382E+24
2012/06/21,1.1642872111805E+24
2012/06/22,1.1178323077325E+24
2012/06/23,1.2151636027199E+24
2012/06/24,1.0735459806399E+24
2012/06/25,1.0034913796171E+24
2012/06/26,1.0151620101019E+24
2012/06/27,1.0782769613953E+24
2012/06/28,9.972385217206E+23
2012/06/29,8.2893216981151E+23
2012/06/30,8.0887672611411E+23
2012/07/01,7.4965414447281E+23
2012/07/02,7.6309471083417E+23
2012/07/03,7.6847740508143E+23
2012/07/04,8.2709029675934E+23
2012/07/05,7.7610677296383E+23
2012/07/06,7.8492845465087E+23
2012/07/07,7.9896344674916E+23
2012/07/08,8.199268067869E+23
2012/07/09,8.8571176054404E+23
2012/07/10,8.915962695304E+23
2012/07/11,8.8993002224394E+23
2012/07/12,7.9422722538836E+23
2012/07/13,8.1630498581963E+23
2012/07/14,8.1142866171425E+23
2012/07/15,8.2008308884708E+23
2012/07/16,8.044889558489E+23
2012/07/17,8.9444167499079E+23
2012/07/18,9.8763318191797E+23
2012/07/19,9.2606632028576E+23
2012/07/20,7.7023101594101E+23
2012/07/21,7.020492311544E+23
2012/07/22,5.852100655726E+23
2012/07/23,5.8352613864326E+23
2012/07/24,6.2114593803107E+23
2012/07/25,6.7213461256513E+23
2012/07/26,8.5900595444902E+23
2012/07/27,9.7388327326382E+23
2012/07/28,1.1595132754664E+24
2012/07/29,1.083289587493E+24
2012/07/30,1.5525483580385E+24
2012/07/31,1.4340534879047E+24
2012/08/01,1.4082308844851E+24
2012/08/02,1.4206738970044E+24
2012/08/03,1.6941973808996E+24
2012/08/04,1.7045541075535E+24
2012/08/05,1.6681454684306E+24
2012/08/06,1.6666708256533E+24
2012/08/07,1.6793379648809E+24
2012/08/08,1.7931781831165E+24
2012/08/09,1.9223003274329E+24
2012/08/10,1.9055978958149E+24
2012/08/11,1.8125969497387E+24
2012/08/12,1.9251071216187E+24
2012/08/13,2.0203856895186E+24
2012/08/14,2.1122778391352E+24
2012/08/15,2.0939687789084E+24
2012/08/16,2.221776673853E+24
2012/08/17,2.2053390410548E+24
2012/08/18,2.1148180154227E+24
2012/08/19,1.9365908991714E+24
2012/08/20,2.4359098884412E+24
