Date,size30rsi
2013/12/05,53.644
2013/12/06,49.166
2013/12/07,48.911
2013/12/08,46.284
2013/12/09,49.58
2013/12/10,50.731
2013/12/11,50.983
2013/12/12,49.394
2013/12/13,49.82
2013/12/14,49.181
2013/12/15,49.498
2013/12/16,50.029
2013/12/17,49.28
2013/12/18,51.705
2013/12/19,47.951
2013/12/20,50.285
2013/12/21,49.669
2013/12/22,48.881
2013/12/23,49.333
2013/12/24,49.248
2013/12/25,49.912
2013/12/26,49.17
2013/12/27,47.714
2013/12/28,50.123
2013/12/29,49.896
2013/12/30,49.926
2013/12/31,47.576
2014/01/01,44.777
2014/01/02,52.676
