Date,mediantransactionvalue90stdUSD
2013/10/05,49.974
2013/10/06,50.068
2013/10/07,49.684
2013/10/08,48.671
2013/10/09,45.114
2013/10/10,44.279
2013/10/11,43.813
2013/10/12,43.991
2013/10/13,43.857
2013/10/14,42.893
2013/10/15,42.55
2013/10/16,42.759
2013/10/17,42.585
2013/10/18,42.558
2013/10/19,42.996
2013/10/20,42.772
2013/10/21,42.675
2013/10/22,43.894
2013/10/23,46.391
2013/10/24,46.672
2013/10/25,46.74
2013/10/26,46.757
2013/10/27,46.274
2013/10/28,45.734
2013/10/29,45.93
2013/10/30,47.6
2013/10/31,47.505
2013/11/01,51.309
2013/11/02,51.961
2013/11/03,53.343
2013/11/04,60.442
2013/11/05,69.929
2013/11/06,76.636
2013/11/07,88.089
2013/11/08,101.246
2013/11/09,116.15
2013/11/10,116.561
2013/11/11,116.627
2013/11/12,118.285
2013/11/13,119.66
2013/11/14,121.809
2013/11/15,124.081
2013/11/16,130.909
2013/11/17,134.528
2013/11/18,164.891
2013/11/19,196.03
2013/11/20,206.084
2013/11/21,212.57
2013/11/22,219.368
2013/11/23,225.715
2013/11/24,226.496
2013/11/25,227.31
2013/11/26,236.446
2013/11/27,263.526
2013/11/28,290.945
2013/11/29,311.766
2013/11/30,321.878
2013/12/01,330.05
2013/12/02,336.61
2013/12/03,340.642
2013/12/04,345.413
2013/12/05,357.428
2013/12/06,360.91
2013/12/07,366.266
2013/12/08,365.476
2013/12/09,365.031
2013/12/10,365.051
2013/12/11,364.574
2013/12/12,364.186
2013/12/13,363.087
2013/12/14,361.294
2013/12/15,359.852
2013/12/16,358.515
2013/12/17,357.159
2013/12/18,356.58
2013/12/19,355.259
2013/12/20,353.321
2013/12/21,351.313
2013/12/22,349.877
2013/12/23,348.554
2013/12/24,347.17
2013/12/25,345.462
2013/12/26,344.423
2013/12/27,343.157
2013/12/28,342.125
2013/12/29,342.026
2013/12/30,340.752
2013/12/31,339.611
2014/01/01,338.084
2014/01/02,336.153
2014/01/03,333.852
2014/01/04,331.287
2014/01/05,329.416
2014/01/06,327.3
2014/01/07,325.063
2014/01/08,322.541
2014/01/09,320.157
2014/01/10,317.179
2014/01/11,314.306
