Date,transactions3wma
2014/03/15,65673
2014/03/16,61375
2014/03/17,62862
2014/03/18,58937
2014/03/19,65860
2014/03/20,68960
2014/03/21,72335
2014/03/22,69357
2014/03/23,63117
2014/03/24,65680
2014/03/25,69061
2014/03/26,69786
2014/03/27,70446
2014/03/28,68661
2014/03/29,60774
2014/03/30,57206
2014/03/31,60185
2014/04/01,63055
2014/04/02,65490
2014/04/03,66310
2014/04/04,66141
2014/04/05,60781
2014/04/06,54387
2014/04/07,58720
2014/04/08,64050
2014/04/09,66008
2014/04/10,66885
2014/04/11,66238
2014/04/12,56956
2014/04/13,52277
2014/04/14,59937
2014/04/15,68152
2014/04/16,70098
2014/04/17,67427
2014/04/18,61498
2014/04/19,56460
2014/04/20,51691
2014/04/21,54151
2014/04/22,66401
2014/04/23,72514
2014/04/24,73849
2014/04/25,72713
2014/04/26,62253
2014/04/27,55641
