Date,fee_to_reward3rocUSD
2013/10/29,10.731
2013/10/30,-52.438
2013/10/31,-20.135
2013/11/01,-21.598
2013/11/02,-23.378
2013/11/03,49.688
2013/11/04,57.282
2013/11/05,131.405
2013/11/06,307.585
2013/11/07,226.978
2013/11/08,187.073
2013/11/09,-56.757
2013/11/10,-69.202
2013/11/11,-57.45
2013/11/12,-70.091
2013/11/13,-48.581
2013/11/14,-61.712
2013/11/15,-6.897
2013/11/16,-46.167
2013/11/17,-27.172
2013/11/18,66.749
2013/11/19,164.956
2013/11/20,67.121
2013/11/21,1.429
2013/11/22,-30.783
2013/11/23,-19.683
2013/11/24,-40.835
2013/11/25,-16.263
